"Points:0","Points:1","Points:2"
-71.018,4.6071,20
-41.603,-86.979,20
60.169,-68.411,20
58.179,-70.921,20
65.623,51.887,20
73.303,24.076,20
73.529,22.743,20
73.771,20.957,20
74.022,19.191,20
74.203,17.876,20
74.532,15.715,20
74.681,14.844,20
74.974,12.298,20
75.017,11.854,20
75.251,8.9128,20
75.252,8.8997,20
75.259,8.8043,20
76.044,0.25748,20
-55.46,49.532,20
-55.059,50.344,20
-22.92,90.892,20
-29.763,86.176,20
-35.637,80.83,20
-42.68,73.389,20
-71.834,-48.128,20
-72.359,-46.439,20
-74.43,-20.72,20
13.962,-95.431,20
-37.597,-89.036,20
-34.942,-90.1,20
-34.268,-90.33,20
-31.468,-91.27,20
-30.824,-91.472,20
-27.969,-92.439,20
-27.368,-92.646,20
-24.452,-93.505,20
-23.824,-93.69,20
-20.906,-94.404,20
-20.208,-94.56,20
-17.335,-95.128,20
-16.547,-95.28,20
-13.76,-95.754,20
-12.859,-95.883,20
76.254,-20.504,20
75.793,-26.073,20
75.807,-25.786,20
71.165,-48.031,20
