-8.58, 74.51, 0
-9.94, 72.67, 0
-11.48, 71.32, 0
-12.49, 70.75, 0
-13.83, 70.79, 0
-14.55, 71.17, 0
-15.72, 72.00, 0
-15.73, 70.30, 0
-15.26, 69.25, 0
-14.71, 68.04, 0
-14.43, 67.33, 0
-14.22, 66.64, 0
-14.05, 65.44, 0
-14.18, 64.15, 0
-14.88, 62.71, 0
-15.55, 62.15, 0
-17.21, 61.77, 0
-18.34, 62.08, 0
-19.04, 62.42, 0
-19.95, 62.95, 0
-20.76, 63.76, 0
-21.49, 64.91, 0
-22.20, 66.20, 0
-23.36, 67.18, 0
-24.40, 67.82, 0
-25.35, 69.14, 0
-26.19, 70.25, 0
-27.04, 71.41, 0
-28.33, 72.56, 0
-28.83, 72.61, 0
-28.82, 71.92, 0
-28.47, 70.79, 0
-28.09, 69.79, 0
-27.59, 68.42, 0
-27.22, 67.00, 0
-27.04, 65.70, 0
-27.11, 64.52, 0
-27.53, 63.59, 0
-28.50, 62.96, 0
-30.22, 63.27, 0
-30.70, 63.52, 0
-31.63, 64.38, 0
-32.86, 64.68, 0
-32.24, 63.32, 0
-31.67, 62.60, 0
-31.16, 61.81, 0
-30.80, 61.13, 0
-30.65, 60.15, 0
-30.69, 59.37, 0
-30.66, 57.79, 0
-29.70, 56.67, 0
-29.03, 55.96, 0
-28.23, 54.59, 0
-27.67, 53.28, 0
-27.20, 52.13, 0
-26.87, 51.00, 0
-27.15, 49.96, 0
-28.44, 49.19, 0
-29.39, 49.09, 0
-31.08, 49.09, 0
-32.18, 49.16, 0
-34.05, 49.31, 0
-35.12, 49.37, 0
-36.47, 49.36, 0
-37.64, 49.35, 0
-39.13, 49.48, 0
-40.28, 49.50, 0
-41.33, 49.56, 0
-42.23, 49.69, 0
-43.20, 49.99, 0
-44.08, 50.12, 0
-45.46, 49.75, 0
-46.09, 48.77, 0
-46.42, 47.65, 0
-45.45, 46.15, 0
-44.95, 45.60, 0
-44.99, 44.68, 0
-45.34, 43.91, 0
-45.57, 43.14, 0
-45.59, 42.43, 0
-44.73, 41.21, 0
-43.95, 40.61, 0
-42.26, 40.15, 0
-39.59, 40.17, 0
-36.89, 40.13, 0
-34.66, 39.79, 0
-32.18, 39.49, 0
-30.50, 40.07, 0
-29.29, 41.44, 0
-27.02, 42.90, 0
-25.70, 42.08, 0
-24.16, 39.97, 0
-23.70, 37.87, 0
-23.53, 35.74, 0
-23.53, 33.06, 0
-24.41, 30.00, 0
